Casespp*,PrctWdyPer,PrctGrassW,PrctTeen,MedInc2014,MinLST*,MaxLST*,MeanLST*,popm2nowet,RichnMed,PrctFlodNW,SwgDensRev,RoadDenRev,NitrogenNe,SalinityNe,GEO_ID_1
n/a,0,0.160841,0.131446,20841,n/a,n/a,n/a,0.0043087,29,0.962973,0.01138325,0.017415721,3.6165099,6.17028,15000US720330204032
n/a,0,0.440419,0.120463,26458,n/a,n/a,n/a,0.0046644,29,0.938613,0.006629652,0.011525775,3.8504801,4.039,15000US720330204033
n/a,0,0.100857,0.15402,13889,n/a,n/a,n/a,0.0058036,25,1.00272,0.000548344,0.019242164,3.1414299,10.4089003,15000US720330204221
n/a,0,0.184991,0.181522,10045,n/a,n/a,n/a,0.0026254,29,0.359653,0.000311689,0.010162517,3.77018,4.7862101,15000US720330204271
n/a,0.0367072,0.0717543,0.0956768,22917,n/a,n/a,n/a,0.0024626,24,0.963581,0.000741301,0.01974305,1.54636,24.6571007,15000US720330204231
n/a,0,0.148111,0.206522,9688,n/a,n/a,n/a,0.0001896,24,0.920449,0.003541794,0.008146123,2.87163,12.8923998,15000US720339800031
n/a,0,0.003185,0.254065,4792,n/a,n/a,n/a,0.0110179,24,0.922591,0.014067617,0.027728773,2.8243799,13.3011999,15000US720330204251
n/a,0,0.0476756,0.139966,54760,n/a,n/a,n/a,0.0035428,24,0.787316,0.009763735,0.02031177,1.04001,29.1238003,15000US720330204233
n/a,0.121821,0.147269,0.109101,20875,n/a,n/a,n/a,0.0018194,29,0.458846,3.38E-05,0.009689227,1.18646,28.4806995,15000US721371202002
n/a,0,0.127916,0.113861,33516,n/a,n/a,n/a,0.0017606,20,0.803967,0.002133903,0.01482367,1.3738199,30.7915001,15000US720310506001
n/a,0,0.117741,0.148175,24911,n/a,n/a,n/a,0.001713,21,0.0917175,0.003388755,0.014932034,1.38401,27.0569,15000US720310502221
n/a,0,0.0000438,0.0800604,83365,n/a,n/a,n/a,0.0019656,24,0.22191,0.003633127,0.022160027,1.08479,31.2600002,15000US720310501112
n/a,0.0445977,0.0003074,0.125245,33000,n/a,n/a,n/a,0.0032295,22,0.0268431,0.037164974,0.027713062,1.91224,15.0110998,15000US720310501101
n/a,0.479626,0.0280157,0.0876177,36786,n/a,n/a,n/a,0.0027323,22,0.626106,0.018541611,0.011390629,1.79214,13.5018997,15000US720310501031
n/a,0,0.0553511,0.131654,32145,n/a,n/a,n/a,0.0024192,21,0.103539,0.008690124,0.02256921,1.4083,26.3780003,15000US720310502321
n/a,0.179703,0.63491,0.16,28787,n/a,n/a,n/a,0.0013284,50,0.576766,0.000137163,0.002626402,2.0971301,33.3625984,15000US720310508112
n/a,0.193027,0.0743728,0.117739,30817,n/a,n/a,n/a,0.0024182,33,0.0193486,0.002221147,0.009678944,1.46927,18.3896008,15000US720310501051
n/a,0.101734,0.389576,0.118881,42938,n/a,n/a,n/a,0.0012151,21,0.568284,0.001461525,0.00550286,1.4888999,21.0599995,15000US720310502212
n/a,0,0.121309,0.0694006,21750,n/a,n/a,n/a,0.0007604,22,0.420262,0.010932454,0.0189674,1.87226,13.4022999,15000US720310501032
n/a,0.219368,0.0975823,0.0546999,40479,n/a,n/a,n/a,0.0082271,32,0.0036214,0.009979214,0.016460428,2.1610999,13.4259005,15000US720310501034
n/a,0,0.173919,0.0423242,12857,n/a,n/a,n/a,0.0015696,23,0.280454,0.003126001,0.009887694,3.17484,10.2208004,15000US720210301011
n/a,0.0600706,0.0609763,0.0652921,74107,n/a,n/a,n/a,0.0001732,32,0.0802425,0.000489189,0.01037009,2.0427001,21.1917,15000US720610402001
