Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 1 (city),Location 2,Location 1 (state)
UNITED STATES,2014,1,32,,102,,430,,32,,81,,,-,9,,41,,,-,20,,,-,0,,2,,,-,,-,,,,
NEW ENGLAND,2014,1,,-,4,,14,,,-,1,,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,1,3,,12,,42,,3,,10,,,-,2,,11,,,-,8,,,-,0,,1,,,-,,-,,,,
E.N. CENTRAL,2014,1,4,,24,,60,,4,,21,,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,,,,
W.N. CENTRAL,2014,1,2,,16,,171,,2,,5,,,-,1,,3,,,-,1,,,-,0,,1,,,-,,-,,,,
S. ATLANTIC,2014,1,16,,18,,53,,16,,12,,,-,1,,13,,,-,6,,,-,0,,1,,,-,,-,,,,
E.S. CENTRAL,2014,1,4,,6,,17,,4,,7,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,,,
W.S. CENTRAL,2014,1,,-,10,,39,,,-,10,,,-,0,,10,,,-,,-,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,1,2,,8,,51,,2,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,,
PACIFIC,2014,1,1,,10,,75,,1,,7,,,-,1,,7,,,-,2,,,-,0,,0,,,-,,-,,,,
GEORGIA,2014,1,5,,4,,16,,5,,5,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968004200045),,,GEORGIA
OREGON,2014,1,,-,2,,58,,,-,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,,OREGON
MARYLAND,2014,1,,-,1,,4,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,,MARYLAND
NEW HAMPSHIRE,2014,1,,-,1,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,,NEW HAMPSHIRE
NEW JERSEY,2014,1,,-,1,,5,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,,NEW JERSEY
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,AMER. SAMOA
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,C.N.M.I.
WASHINGTON,2014,1,,-,1,,12,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.522287905000496),,,WASHINGTON
ARKANSAS,2014,1,,-,1,,12,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,,ARKANSAS
ILLINOIS,2014,1,,-,4,,16,,,-,5,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,,ILLINOIS
NEW MEXICO,2014,1,,-,1,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.52088247800049),,,NEW MEXICO
TENNESSEE,2014,1,1,,1,,6,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,,TENNESSEE
